:START_ID,:END_ID,:TYPE
bls-11-1010,bls-11-0000,PART_OF
bls-11-1010,bls-11-1000,PART_OF
bls-11-1011,bls-11-0000,PART_OF
bls-11-1011,bls-11-1000,PART_OF
bls-11-1011,bls-11-1010,PART_OF
bls-11-1011.00,bls-11-0000,PART_OF
bls-11-1011.00,bls-11-1000,PART_OF
bls-11-1011.00,bls-11-1010,PART_OF
bls-11-1011.00,bls-11-1011,PART_OF
bls-11-1020,bls-11-0000,PART_OF
bls-11-1020,bls-11-1000,PART_OF
bls-11-1021,bls-11-0000,PART_OF
bls-11-1021,bls-11-1000,PART_OF
bls-11-1021,bls-11-1020,PART_OF
bls-11-1021.00,bls-11-0000,PART_OF
bls-11-1021.00,bls-11-1000,PART_OF
bls-11-1021.00,bls-11-1020,PART_OF
bls-11-1021.00,bls-11-1021,PART_OF
bls-11-2000,bls-11-0000,PART_OF
bls-11-2010,bls-11-0000,PART_OF
bls-11-2010,bls-11-2000,PART_OF
bls-11-2011,bls-11-0000,PART_OF
bls-11-2011,bls-11-2000,PART_OF
bls-11-2011,bls-11-2010,PART_OF
bls-11-2011.00,bls-11-0000,PART_OF
bls-11-2011.00,bls-11-2000,PART_OF
bls-11-2011.00,bls-11-2010,PART_OF
bls-11-2011.00,bls-11-2011,PART_OF
bls-11-2020,bls-11-0000,PART_OF
bls-11-2020,bls-11-2000,PART_OF
bls-11-2021,bls-11-0000,PART_OF
bls-11-2021,bls-11-2000,PART_OF
bls-11-2021,bls-11-2020,PART_OF
bls-11-2021.00,bls-11-0000,PART_OF
bls-11-2021.00,bls-11-2000,PART_OF
bls-11-2021.00,bls-11-2020,PART_OF
bls-11-2021.00,bls-11-2021,PART_OF
bls-11-2022,bls-11-0000,PART_OF
bls-11-2022,bls-11-2000,PART_OF
bls-11-2022,bls-11-2020,PART_OF
bls-11-2022.00,bls-11-0000,PART_OF
bls-11-2022.00,bls-11-2000,PART_OF
bls-11-2022.00,bls-11-2020,PART_OF
bls-11-2022.00,bls-11-2022,PART_OF
bls-11-2030,bls-11-0000,PART_OF
bls-11-2030,bls-11-2000,PART_OF
bls-11-2032,bls-11-0000,PART_OF
bls-11-2032,bls-11-2000,PART_OF
bls-11-2032,bls-11-2030,PART_OF
bls-11-2033,bls-11-0000,PART_OF
bls-11-2033,bls-11-2000,PART_OF
bls-11-2033,bls-11-2030,PART_OF
bls-11-3010,bls-11-0000,PART_OF
bls-11-3010,bls-11-3000,PART_OF
bls-11-3012,bls-11-0000,PART_OF
bls-11-3012,bls-11-3000,PART_OF
bls-11-3012,bls-11-3010,PART_OF
bls-11-3012.00,bls-11-0000,PART_OF
bls-11-3012.00,bls-11-3000,PART_OF
bls-11-3012.00,bls-11-3010,PART_OF
bls-11-3012.00,bls-11-3012,PART_OF
bls-11-3013,bls-11-0000,PART_OF
bls-11-3013,bls-11-3000,PART_OF
bls-11-3013,bls-11-3010,PART_OF
bls-11-3020,bls-11-0000,PART_OF
bls-11-3020,bls-11-3000,PART_OF
bls-11-3021,bls-11-0000,PART_OF
bls-11-3021,bls-11-3000,PART_OF
bls-11-3021,bls-11-3020,PART_OF
bls-11-3021.00,bls-11-0000,PART_OF
bls-11-3021.00,bls-11-3000,PART_OF
bls-11-3021.00,bls-11-3020,PART_OF
bls-11-3021.00,bls-11-3021,PART_OF
bls-11-3030,bls-11-0000,PART_OF
bls-11-3030,bls-11-3000,PART_OF
bls-11-3031,bls-11-0000,PART_OF
bls-11-3031,bls-11-3000,PART_OF
bls-11-3031,bls-11-3030,PART_OF
bls-11-3031.00,bls-11-0000,PART_OF
bls-11-3031.00,bls-11-3000,PART_OF
bls-11-3031.00,bls-11-3030,PART_OF
bls-11-3031.00,bls-11-3031,PART_OF
bls-11-3031.02,bls-11-0000,PART_OF
bls-11-3031.02,bls-11-3000,PART_OF
bls-11-3050,bls-11-0000,PART_OF
bls-11-3050,bls-11-3000,PART_OF
bls-11-3051,bls-11-0000,PART_OF
bls-11-3051,bls-11-3000,PART_OF
bls-11-3051,bls-11-3050,PART_OF
bls-11-3051.00,bls-11-0000,PART_OF
bls-11-3051.00,bls-11-3000,PART_OF
bls-11-3051.00,bls-11-3050,PART_OF
bls-11-3051.00,bls-11-3051,PART_OF
bls-11-3060,bls-11-0000,PART_OF
bls-11-3060,bls-11-3000,PART_OF
bls-11-3061,bls-11-0000,PART_OF
bls-11-3061,bls-11-3000,PART_OF
bls-11-3061,bls-11-3060,PART_OF
bls-11-3070,bls-11-0000,PART_OF
bls-11-3070,bls-11-3000,PART_OF
bls-11-3071,bls-11-0000,PART_OF
bls-11-3071,bls-11-3000,PART_OF
bls-11-3071,bls-11-3070,PART_OF
bls-11-3071.00,bls-11-0000,PART_OF
bls-11-3071.00,bls-11-3000,PART_OF
bls-11-3071.00,bls-11-3070,PART_OF
bls-11-3071.00,bls-11-3071,PART_OF
bls-11-3071.03,bls-11-0000,PART_OF
bls-11-3071.03,bls-11-3000,PART_OF
bls-11-3071.04,bls-11-0000,PART_OF
bls-11-3071.04,bls-11-3000,PART_OF
bls-11-3071.04,bls-11-3070,PART_OF
bls-11-3071.04,bls-11-3071,PART_OF
bls-11-3110,bls-11-0000,PART_OF
bls-11-3110,bls-11-3000,PART_OF
bls-11-3111,bls-11-0000,PART_OF
bls-11-3111,bls-11-3000,PART_OF
bls-11-3111,bls-11-3110,PART_OF
bls-11-3111.00,bls-11-0000,PART_OF
bls-11-3111.00,bls-11-3000,PART_OF
bls-11-3111.00,bls-11-3110,PART_OF
bls-11-3111.00,bls-11-3111,PART_OF
bls-11-3120,bls-11-0000,PART_OF
bls-11-3120,bls-11-3000,PART_OF
bls-11-3121,bls-11-0000,PART_OF
bls-11-3121,bls-11-3000,PART_OF
bls-11-3121,bls-11-3120,PART_OF
bls-11-3121.00,bls-11-0000,PART_OF
bls-11-3121.00,bls-11-3000,PART_OF
bls-11-3121.00,bls-11-3120,PART_OF
bls-11-3121.00,bls-11-3121,PART_OF
bls-11-3130,bls-11-0000,PART_OF
bls-11-3130,bls-11-3000,PART_OF
bls-11-3131,bls-11-0000,PART_OF
bls-11-3131,bls-11-3000,PART_OF
bls-11-3131,bls-11-3130,PART_OF
bls-11-3131.00,bls-11-0000,PART_OF
bls-11-3131.00,bls-11-3000,PART_OF
bls-11-3131.00,bls-11-3130,PART_OF
bls-11-3131.00,bls-11-3131,PART_OF
bls-11-9010,bls-11-0000,PART_OF
bls-11-9010,bls-11-9000,PART_OF
bls-11-9020,bls-11-0000,PART_OF
bls-11-9020,bls-11-9000,PART_OF
bls-11-9021,bls-11-0000,PART_OF
bls-11-9021,bls-11-9000,PART_OF
bls-11-9021,bls-11-9020,PART_OF
bls-11-9021.00,bls-11-0000,PART_OF
bls-11-9021.00,bls-11-9000,PART_OF
bls-11-9021.00,bls-11-9020,PART_OF
bls-11-9021.00,bls-11-9021,PART_OF
bls-11-9030,bls-11-0000,PART_OF
bls-11-9030,bls-11-9000,PART_OF
bls-11-9031,bls-11-0000,PART_OF
bls-11-9031,bls-11-9000,PART_OF
bls-11-9031,bls-11-9030,PART_OF
bls-11-9032,bls-11-0000,PART_OF
bls-11-9032,bls-11-9000,PART_OF
bls-11-9032,bls-11-9030,PART_OF
bls-11-9033,bls-11-0000,PART_OF
bls-11-9033,bls-11-9000,PART_OF
bls-11-9033,bls-11-9030,PART_OF
bls-11-9039,bls-11-0000,PART_OF
bls-11-9039,bls-11-9000,PART_OF
bls-11-9039,bls-11-9030,PART_OF
bls-11-9110,bls-11-0000,PART_OF
bls-11-9110,bls-11-9000,PART_OF
bls-11-9111,bls-11-0000,PART_OF
bls-11-9111,bls-11-9000,PART_OF
bls-11-9111,bls-11-9110,PART_OF
bls-11-9150,bls-11-0000,PART_OF
bls-11-9150,bls-11-9000,PART_OF
bls-11-9151,bls-11-0000,PART_OF
bls-11-9151,bls-11-9000,PART_OF
bls-11-9151,bls-11-9150,PART_OF
bls-11-9151.00,bls-11-0000,PART_OF
bls-11-9151.00,bls-11-9000,PART_OF
bls-11-9151.00,bls-11-9150,PART_OF
bls-11-9151.00,bls-11-9151,PART_OF
bls-11-9190,bls-11-0000,PART_OF
bls-11-9190,bls-11-9000,PART_OF
bls-11-9198,bls-11-0000,PART_OF
bls-11-9198,bls-11-9000,PART_OF
bls-11-9198,bls-11-9190,PART_OF
bls-11-9199,bls-11-0000,PART_OF
bls-11-9199,bls-11-9000,PART_OF
bls-11-9199,bls-11-9190,PART_OF
bls-11-9199.00,bls-11-0000,PART_OF
bls-11-9199.00,bls-11-9000,PART_OF
bls-11-9199.00,bls-11-9190,PART_OF
bls-11-9199.00,bls-11-9199,PART_OF
bls-11-9199.02,bls-11-0000,PART_OF
bls-11-9199.02,bls-11-9000,PART_OF
bls-11-9199.02,bls-11-9190,PART_OF
bls-11-9199.02,bls-11-9199,PART_OF
bls-13-1000,bls-13-0000,PART_OF
bls-13-1010,bls-13-0000,PART_OF
bls-13-1010,bls-13-1000,PART_OF
bls-13-1011,bls-13-0000,PART_OF
bls-13-1011,bls-13-1000,PART_OF
bls-13-1011,bls-13-1010,PART_OF
bls-13-1011.00,bls-13-0000,PART_OF
bls-13-1011.00,bls-13-1000,PART_OF
bls-13-1011.00,bls-13-1010,PART_OF
bls-13-1011.00,bls-13-1011,PART_OF
bls-13-1020,bls-13-0000,PART_OF
bls-13-1020,bls-13-1000,PART_OF
bls-13-1021,bls-13-0000,PART_OF
bls-13-1021,bls-13-1000,PART_OF
bls-13-1021,bls-13-1020,PART_OF
bls-13-1021.00,bls-13-0000,PART_OF
bls-13-1021.00,bls-13-1000,PART_OF
bls-13-1021.00,bls-13-1020,PART_OF
bls-13-1021.00,bls-13-1021,PART_OF
bls-13-1022,bls-13-0000,PART_OF
bls-13-1022,bls-13-1000,PART_OF
bls-13-1022,bls-13-1020,PART_OF
bls-13-1022.00,bls-13-0000,PART_OF
bls-13-1022.00,bls-13-1000,PART_OF
bls-13-1022.00,bls-13-1020,PART_OF
bls-13-1022.00,bls-13-1022,PART_OF
bls-13-1023,bls-13-0000,PART_OF
bls-13-1023,bls-13-1000,PART_OF
bls-13-1023,bls-13-1020,PART_OF
bls-13-1023.00,bls-13-0000,PART_OF
bls-13-1023.00,bls-13-1000,PART_OF
bls-13-1023.00,bls-13-1020,PART_OF
bls-13-1023.00,bls-13-1023,PART_OF
bls-13-1050,bls-13-0000,PART_OF
bls-13-1050,bls-13-1000,PART_OF
bls-13-1051,bls-13-0000,PART_OF
bls-13-1051,bls-13-1000,PART_OF
bls-13-1051,bls-13-1050,PART_OF
bls-13-1051.00,bls-13-0000,PART_OF
bls-13-1051.00,bls-13-1000,PART_OF
bls-13-1051.00,bls-13-1050,PART_OF
bls-13-1051.00,bls-13-1051,PART_OF
bls-13-1070,bls-13-0000,PART_OF
bls-13-1070,bls-13-1000,PART_OF
bls-13-1071,bls-13-0000,PART_OF
bls-13-1071,bls-13-1000,PART_OF
bls-13-1071,bls-13-1070,PART_OF
bls-13-1071.00,bls-13-0000,PART_OF
bls-13-1071.00,bls-13-1000,PART_OF
bls-13-1071.00,bls-13-1070,PART_OF
bls-13-1071.00,bls-13-1071,PART_OF
bls-13-1074,bls-13-0000,PART_OF
bls-13-1074,bls-13-1000,PART_OF
bls-13-1074,bls-13-1070,PART_OF
bls-13-1075,bls-13-0000,PART_OF
bls-13-1075,bls-13-1000,PART_OF
bls-13-1075,bls-13-1070,PART_OF
bls-13-1075.00,bls-13-0000,PART_OF
bls-13-1075.00,bls-13-1000,PART_OF
bls-13-1075.00,bls-13-1070,PART_OF
bls-13-1075.00,bls-13-1075,PART_OF
bls-13-1080,bls-13-0000,PART_OF
bls-13-1080,bls-13-1000,PART_OF
bls-13-1081,bls-13-0000,PART_OF
bls-13-1081,bls-13-1000,PART_OF
bls-13-1081,bls-13-1080,PART_OF
bls-13-1081.00,bls-13-0000,PART_OF
bls-13-1081.00,bls-13-1000,PART_OF
bls-13-1081.00,bls-13-1080,PART_OF
bls-13-1081.00,bls-13-1081,PART_OF
bls-13-1082,bls-13-0000,PART_OF
bls-13-1082,bls-13-1000,PART_OF
bls-13-1082,bls-13-1080,PART_OF
bls-13-1082.00,bls-13-0000,PART_OF
bls-13-1082.00,bls-13-1000,PART_OF
bls-13-1082.00,bls-13-1080,PART_OF
bls-13-1082.00,bls-13-1082,PART_OF
bls-13-1110,bls-13-0000,PART_OF
bls-13-1110,bls-13-1000,PART_OF
bls-13-1111,bls-13-0000,PART_OF
bls-13-1111,bls-13-1000,PART_OF
bls-13-1111,bls-13-1110,PART_OF
bls-13-1111.00,bls-13-0000,PART_OF
bls-13-1111.00,bls-13-1000,PART_OF
bls-13-1111.00,bls-13-1110,PART_OF
bls-13-1111.00,bls-13-1111,PART_OF
bls-13-1140,bls-13-0000,PART_OF
bls-13-1140,bls-13-1000,PART_OF
bls-13-1141,bls-13-0000,PART_OF
bls-13-1141,bls-13-1000,PART_OF
bls-13-1141,bls-13-1140,PART_OF
bls-13-1141.00,bls-13-0000,PART_OF
bls-13-1141.00,bls-13-1000,PART_OF
bls-13-1141.00,bls-13-1140,PART_OF
bls-13-1141.00,bls-13-1141,PART_OF
bls-13-1150,bls-13-0000,PART_OF
bls-13-1150,bls-13-1000,PART_OF
bls-13-1151,bls-13-0000,PART_OF
bls-13-1151,bls-13-1000,PART_OF
bls-13-1151,bls-13-1150,PART_OF
bls-13-1151.00,bls-13-0000,PART_OF
bls-13-1151.00,bls-13-1000,PART_OF
bls-13-1151.00,bls-13-1150,PART_OF
bls-13-1151.00,bls-13-1151,PART_OF
bls-13-1160,bls-13-0000,PART_OF
bls-13-1160,bls-13-1000,PART_OF
bls-13-1161,bls-13-0000,PART_OF
bls-13-1161,bls-13-1000,PART_OF
bls-13-1161,bls-13-1160,PART_OF
bls-13-1161.00,bls-13-0000,PART_OF
bls-13-1161.00,bls-13-1000,PART_OF
bls-13-1161.00,bls-13-1160,PART_OF
bls-13-1161.00,bls-13-1161,PART_OF
bls-13-1190,bls-13-0000,PART_OF
bls-13-1190,bls-13-1000,PART_OF
bls-13-1191,bls-13-0000,PART_OF
bls-13-1191,bls-13-1000,PART_OF
bls-13-1198,bls-13-0000,PART_OF
bls-13-1198,bls-13-1000,PART_OF
bls-13-1198,bls-13-1190,PART_OF
bls-13-1199,bls-13-0000,PART_OF
bls-13-1199,bls-13-1000,PART_OF
bls-13-1199,bls-13-1190,PART_OF
bls-13-2010,bls-13-0000,PART_OF
bls-13-2010,bls-13-2000,PART_OF
bls-13-2011,bls-13-0000,PART_OF
bls-13-2011,bls-13-2000,PART_OF
bls-13-2011,bls-13-2010,PART_OF
bls-13-2011.00,bls-13-0000,PART_OF
bls-13-2011.00,bls-13-2000,PART_OF
bls-13-2011.00,bls-13-2010,PART_OF
bls-13-2011.00,bls-13-2011,PART_OF
bls-13-2011.01,bls-13-0000,PART_OF
bls-13-2011.01,bls-13-2000,PART_OF
bls-13-2011.01,bls-13-2010,PART_OF
bls-13-2011.01,bls-13-2011,PART_OF
bls-13-2011.02,bls-13-0000,PART_OF
bls-13-2011.02,bls-13-2000,PART_OF
bls-13-2011.02,bls-13-2010,PART_OF
bls-13-2011.02,bls-13-2011,PART_OF
bls-13-2030,bls-13-0000,PART_OF
bls-13-2030,bls-13-2000,PART_OF
bls-13-2031,bls-13-0000,PART_OF
bls-13-2031,bls-13-2000,PART_OF
bls-13-2031,bls-13-2030,PART_OF
bls-13-2031.00,bls-13-0000,PART_OF
bls-13-2031.00,bls-13-2000,PART_OF
bls-13-2031.00,bls-13-2030,PART_OF
bls-13-2031.00,bls-13-2031,PART_OF
bls-13-2040,bls-13-0000,PART_OF
bls-13-2040,bls-13-2000,PART_OF
bls-13-2041,bls-13-0000,PART_OF
bls-13-2041,bls-13-2000,PART_OF
bls-13-2041,bls-13-2040,PART_OF
bls-13-2041.00,bls-13-0000,PART_OF
bls-13-2041.00,bls-13-2000,PART_OF
bls-13-2041.00,bls-13-2040,PART_OF
bls-13-2041.00,bls-13-2041,PART_OF
bls-13-2050,bls-13-0000,PART_OF
bls-13-2050,bls-13-2000,PART_OF
bls-13-2051,bls-13-0000,PART_OF
bls-13-2051,bls-13-2000,PART_OF
bls-13-2051,bls-13-2050,PART_OF
bls-13-2051.00,bls-13-0000,PART_OF
bls-13-2051.00,bls-13-2000,PART_OF
bls-13-2051.00,bls-13-2050,PART_OF
bls-13-2051.00,bls-13-2051,PART_OF
bls-13-2052,bls-13-0000,PART_OF
bls-13-2052,bls-13-2000,PART_OF
bls-13-2052,bls-13-2050,PART_OF
bls-13-2053,bls-13-0000,PART_OF
bls-13-2053,bls-13-2000,PART_OF
bls-13-2053,bls-13-2050,PART_OF
bls-13-2054,bls-13-0000,PART_OF
bls-13-2054,bls-13-2000,PART_OF
bls-13-2054,bls-13-2050,PART_OF
bls-13-2054.00,bls-13-0000,PART_OF
bls-13-2054.00,bls-13-2000,PART_OF
bls-13-2054.00,bls-13-2050,PART_OF
bls-13-2054.00,bls-13-2054,PART_OF
bls-13-2060,bls-13-0000,PART_OF
bls-13-2060,bls-13-2000,PART_OF
bls-13-2061,bls-13-0000,PART_OF
bls-13-2061,bls-13-2000,PART_OF
bls-13-2061,bls-13-2060,PART_OF
bls-13-2061.00,bls-13-0000,PART_OF
bls-13-2061.00,bls-13-2000,PART_OF
bls-13-2061.00,bls-13-2060,PART_OF
bls-13-2061.00,bls-13-2061,PART_OF
bls-13-2080,bls-13-0000,PART_OF
bls-13-2080,bls-13-2000,PART_OF
bls-13-2081,bls-13-0000,PART_OF
bls-13-2081,bls-13-2000,PART_OF
bls-13-2081,bls-13-2080,PART_OF
bls-13-2081.00,bls-13-0000,PART_OF
bls-13-2081.00,bls-13-2000,PART_OF
bls-13-2081.00,bls-13-2080,PART_OF
bls-13-2081.00,bls-13-2081,PART_OF
bls-13-2082,bls-13-0000,PART_OF
bls-13-2082,bls-13-2000,PART_OF
bls-13-2082,bls-13-2080,PART_OF
bls-13-2099,bls-13-0000,PART_OF
bls-13-2099,bls-13-2000,PART_OF
bls-13-2099,bls-13-2090,PART_OF
bls-13-2099.00,bls-13-0000,PART_OF
bls-13-2099.00,bls-13-2000,PART_OF
bls-13-2099.00,bls-13-2090,PART_OF
bls-13-2099.00,bls-13-2099,PART_OF
bls-15-1121.00,bls-15-0000,PART_OF
bls-15-1121.00,bls-15-1000,PART_OF
bls-15-1121.01,bls-15-0000,PART_OF
bls-15-1121.01,bls-15-1000,PART_OF
bls-15-1122,bls-15-0000,PART_OF
bls-15-1122,bls-15-1000,PART_OF
bls-15-1122.00,bls-15-0000,PART_OF
bls-15-1122.00,bls-15-1000,PART_OF
bls-15-1141.00,bls-15-0000,PART_OF
bls-15-1141.00,bls-15-1000,PART_OF
bls-15-1142.00,bls-15-0000,PART_OF
bls-15-1142.00,bls-15-1000,PART_OF
bls-15-1143.00,bls-15-0000,PART_OF
bls-15-1143.00,bls-15-1000,PART_OF
bls-15-1143.01,bls-15-0000,PART_OF
bls-15-1143.01,bls-15-1000,PART_OF
bls-15-1151.00,bls-15-0000,PART_OF
bls-15-1151.00,bls-15-1000,PART_OF
bls-15-1152.00,bls-15-0000,PART_OF
bls-15-1152.00,bls-15-1000,PART_OF
bls-15-1200,bls-15-0000,PART_OF
bls-15-1210,bls-15-0000,PART_OF
bls-15-1210,bls-15-1200,PART_OF
bls-15-1211,bls-15-0000,PART_OF
bls-15-1211,bls-15-1200,PART_OF
bls-15-1211,bls-15-1210,PART_OF
bls-15-1212,bls-15-0000,PART_OF
bls-15-1212,bls-15-1200,PART_OF
bls-15-1212,bls-15-1210,PART_OF
bls-15-1220,bls-15-0000,PART_OF
bls-15-1220,bls-15-1200,PART_OF
bls-15-1221,bls-15-0000,PART_OF
bls-15-1221,bls-15-1200,PART_OF
bls-15-1221,bls-15-1220,PART_OF
bls-15-1221.00,bls-15-0000,PART_OF
bls-15-1221.00,bls-15-1200,PART_OF
bls-15-1221.00,bls-15-1220,PART_OF
bls-15-1221.00,bls-15-1221,PART_OF
bls-15-1230,bls-15-0000,PART_OF
bls-15-1230,bls-15-1200,PART_OF
bls-15-1231,bls-15-0000,PART_OF
bls-15-1231,bls-15-1200,PART_OF
bls-15-1231,bls-15-1230,PART_OF
